,vis_x,vis_y
256,9.380873,-17.272036
257,44.974476,-14.82524
258,29.681797,21.261625
259,31.354256,19.851795
260,21.450392,-48.103577
261,-22.352451,-47.99299
262,-21.93401,-37.81524
263,-49.500843,-20.182919
264,33.81256,40.106194
265,56.527157,39.36802
266,-78.63011,15.730143
267,-45.6746,2.480926
268,-79.633,26.059706
269,-33.263004,-22.960007
270,23.874283,-34.49388
271,5.3328924,-9.355885
272,31.1435,41.232353
273,44.980385,31.610302
274,-13.126709,13.632682
275,46.302536,50.277695
276,-23.864475,-14.149184
277,49.027454,8.275714
278,47.215416,-17.00054
279,-12.57272,-11.13191
280,48.04356,-21.866762
281,60.51286,16.169886
282,51.480453,3.8027859
283,37.6781,2.083443
284,38.25085,-35.639053
285,53.467926,8.102369
286,-48.422447,2.0972962
287,53.101284,-7.8740516
288,-78.09544,25.26108
289,6.4764423,-64.70116
290,53.830917,11.335255
291,-19.219337,-31.761965
292,-8.571138,-15.315065
293,50.28073,50.99486
294,-2.1233633,-49.345745
295,-41.12246,4.5682745
296,-34.37894,21.694288
297,-24.327137,-12.835351
298,-38.476707,42.21254
299,62.162704,34.421673
300,-22.780125,-44.31823
301,44.868465,44.064228
302,24.858482,-20.137106
303,9.381699,10.260091
304,-19.066196,-22.06857
305,23.564451,-27.039745
306,-31.446867,-36.81761
307,-16.026102,16.90975
308,-11.216132,17.947733
309,48.4381,29.203457
310,32.992695,3.798425
311,-44.485687,7.85223
312,-58.623405,-21.68749
313,-37.628513,-11.125531
314,35.62301,19.642017
315,-27.19618,5.270648
316,30.279882,21.59321
317,28.283064,17.842855
318,-26.95922,45.750694
319,30.858614,15.6979
320,-13.890402,23.226048
321,38.256374,-16.070702
322,24.442282,-16.112545
323,15.092787,-49.229073
324,-21.597538,47.623997
325,0.6224772,-55.63381
326,-39.47544,-17.000984
327,47.53354,50.43938
328,-24.650291,-11.831021
329,-58.981594,-32.1463
330,-10.475185,-6.2332997
331,-11.218557,15.231616
332,45.61472,7.313239
333,-61.546394,-23.20501
334,-13.990939,-53.800926
335,-69.59302,38.2443
336,23.963116,3.706223
337,-36.3059,-3.4632943
338,57.47377,7.174604
339,39.805443,7.7367444
340,50.587288,9.240122
341,52.06938,8.65044
342,-23.365946,43.486744
343,-31.605783,38.973583
344,-81.395134,5.4908476
345,-5.695024,43.85395
346,-35.287712,-11.891149
347,33.78518,25.546165
348,5.099744,-6.9498653
349,-0.7995214,34.90408
350,-17.848978,26.252575
351,27.653381,-43.8911
352,31.663248,3.3554788
353,7.831778,14.777715
354,-6.834865,60.61469
355,16.104324,20.572145
356,-16.410938,27.29227
357,55.01134,41.87144
358,0.82136315,-27.419289
359,19.55823,14.700702
360,22.636328,11.869765
361,11.32419,20.138601
362,1.1625332,55.29758
363,10.1071415,23.326895
364,-18.30097,-30.657038
365,-1.8484117,60.968258
366,15.027309,22.70296
367,-73.37513,0.33557898
368,7.853801,11.740348
369,5.518122,0.9845869
370,16.83755,15.881177
371,17.184647,12.567775
