sobject_id,camera
150827004001312,1
150827004001313,2
150827004001315,1
150827004001315,2
150827004001317,2
150827004001318,2
150827004001319,2
150827004001320,2
150827004001322,1
150827004001324,1
150827004001325,1
150827004001325,2
150827004001327,1
150827004001328,1
150827004001332,2
150827004001337,2
150827004001339,2
150827004001340,2
150827004001342,1
150827004001342,2
150827004001343,1
150827004001344,1
150827004001344,2
150827004001347,1
150827004001351,1
150827004001351,2
150827004001355,1
150827004001356,1
150827004001359,1
150827004001360,1
150827004001362,2
150827004001364,1
150827004001364,2
150827004001365,2
150827004001366,2
150827004001368,2
150827004001370,2
150827004001371,1
150827004001375,1
150827004001375,2
150827004001377,2
150827004001381,2
150827004001383,1
150827004001385,2
150827004001386,1
150827004001390,2
150827004001392,1
150827004001392,2
150827004001396,1
150827004001397,1
150827004001398,1
150827004001399,2
150827005201001,1
150827005201005,1
150827005201007,1
150827005201008,1
150827005201019,1
150827005201019,2
150827005201020,1
150827005201024,1
150827005201024,2
150827005201027,1
150827005201029,1
150827005201032,2
150827005201034,1
150827005201039,1
150827005201040,1
150827005201040,2
150827005201041,2
150827005201043,1
150827005201043,2
150827005201044,1
150827005201044,2
150827005201046,2
150827005201051,2
150827005201053,2
150827005201055,1
150827005201055,2
150827005201056,1
150827005201057,2
150827005201058,1
150827005201060,1
150827005201061,2
150827005201062,1
150827005201062,2
150827005201066,1
150827005201067,2
150827005201070,1
150827005201070,2
150827005201072,1
150827005201073,1
150827005201074,2
150827005201081,1
150827005201082,2
150827005201083,1
150827005201085,1
150827005201086,1
150827005201086,2
150827005201087,1
150827005201088,1
150827005201088,2
150827005201090,1
150827005201090,2
150827005201093,2
150827005201095,2
150827005201102,2
150827005201103,1
150827005201105,2
150827005201106,2
150827005201107,1
150827005201110,1
150827005201111,1
150827005201113,1
150827005201117,1
150827005201125,1
150827005201128,1
150827005201132,2
150827005201133,1
150827005201133,2
150827005201136,2
150827005201137,1
150827005201137,2
150827005201144,2
150827005201146,1
150827005201151,1
150827005201153,1
150827005201158,2
150827005201161,1
150827005201162,2
150827005201164,2
150827005201167,1
150827005201170,1
150827005201174,1
150827005201175,2
150827005201178,1
150827005201180,2
150827005201182,1
150827005201189,2
150827005201193,1
150827005201195,2
150827005201196,1
150827005201199,1
150827005201207,1
150827005201269,1
150827005201272,1
150827005201273,1
150827005201283,2
150827005201293,2
150827005201301,2
150827005201306,1
150827005201307,2
150827005201308,1
150827005201310,2
150827005201311,1
150827005201312,2
150827005201313,1
150827005201316,1
150827005201318,1
150827005201321,1
150827005201328,2
150827005201329,1
150827005201332,2
150827005201334,1
150827005201337,1
150827005201338,2
150827005201342,2
150827005201349,1
150827005201349,2
150827005201357,2
150827005201362,2
150827005201363,1
150827005201373,2
150827005201378,2
150827005201384,1
150827005201385,1
150827005201388,1
150827005201388,2
150827005201389,2
181221001601006,4
181221001601008,4
181221001601012,4
181221001601021,4
181221001601024,4
181221001601030,4
181221001601032,4
181221001601033,4
181221001601038,4
181221001601040,4
181221001601043,4
181221001601047,4
181221001601049,4
181221001601053,4
181221001601056,4
181221001601063,4
181221001601065,4
181221001601066,4
181221001601067,4
181221001601070,4
181221001601073,4
181221001601074,4
181221001601078,4
181221001601083,4
181221001601090,4
181221001601092,4
181221001601097,4
181221001601099,4
181221001601104,4
181221001601106,4
181221001601107,4
181221001601120,4
181221001601122,4
181221001601125,4
181221001601128,4
181221001601132,4
181221001601133,4
181221001601136,4
181221001601139,4
181221001601141,4
181221001601142,4
181221001601149,4
181221001601154,4
181221001601157,4
181221001601158,4
181221001601159,4
181221001601160,4
181221001601161,4
181221001601166,4
181221001601169,4
181221001601175,4
181221001601178,4
181221001601179,4
181221001601180,4
181221001601184,4
181221001601186,4
181221001601189,4
181221001601191,4
181221001601192,4
181221001601195,4
181221001601197,4
181221001601204,4
181221001601208,4
181221001601209,4
181221001601215,4
181221001601216,4
181221001601219,4
181221001601220,4
181221001601221,4
181221001601222,4
181221001601227,4
181221001601228,4
181221001601229,4
181221001601230,4
181221001601234,4
181221001601235,4
181221001601242,4
181221001601243,4
181221001601247,4
181221001601248,4
181221001601252,4
181221001601253,4
181221001601254,4
181221001601257,4
181221001601259,4
181221001601263,4
181221001601271,4
181221001601275,4
181221001601277,4
181221001601278,4
181221001601281,4
181221001601282,4
181221001601284,4
181221001601285,4
181221001601288,4
181221001601291,4
181221001601293,4
181221001601295,4
181221001601299,4
181221001601301,4
181221001601302,4
181221001601310,4
181221001601314,4
181221001601317,4
181221001601319,4
181221001601322,4
181221001601329,4
181221001601332,4
181221001601333,4
181221001601334,4
181221001601336,4
181221001601341,4
181221001601342,4
181221001601343,4
181221001601344,4
181221001601345,4
181221001601346,4
181221001601348,4
181221001601354,4
181221001601377,4
181221001601379,4
181221001601385,4
181221001601390,4
181221001601392,4
181221001601395,4
181221001601396,4
181221002101001,4
181221002101005,4
181221002101008,4
181221002101009,4
181221002101018,4
181221002101021,4
181221002101031,4
181221002101040,4
181221002101056,4
181221002101059,4
181221002101060,4
181221002101063,4
181221002101071,4
181221002101074,4
181221002101076,4
181221002101078,4
181221002101081,4
181221002101083,4
181221002101086,4
181221002101088,4
181221002101097,4
181221002101098,4
181221002101101,4
181221002101102,4
181221002101105,4
181221002101106,4
181221002101107,4
181221002101109,4
181221002101110,4
181221002101111,4
181221002101113,4
181221002101114,4
181221002101115,4
181221002101116,4
181221002101119,4
181221002101131,4
181221002101132,4
